Acad_ID,Stud-Sch,Stud-ID,Entry_yr,Acad-Yr-G11-EC,Acad-Yr-G11,Cycle,Grade-Section-G11,Study-Area,Tig-Sem1-G11,Amh-Sem1-G11,Eng-Sem1-G11,Math-Sem1-G11,Bio-Sem1-G11,Chem-Sem1-G11,Phy-Sem1-G11,Civic-Sem1-G11,IT-Sem1-G11,Tech-Dr-Sem1-G11,Geo-Sem1-G11,His-Sem1-G11,Eco-Sem1-G11,Buss-Sem1-G11,Phy-Edu-Sem1-G11,Conduct-Sem1-G11,Tig-Sem2-G11,Amh-Sem2-G11,Eng-Sem2-G11,Math-Sem2-G11,Bio-Sem2-G11,Chem-Sem2-G11,Phy-Sem2-G11,Civic-Sem2-G11,IT-Sem2-G11,Tech-Dr-Sem2-G11,Geo-Sem2-G11,His-Sem2-G11,Eco-Sem2-G11,Buss-Sem2-G11,Phy-Edu-Sem2-G11,Conduct-Sem2-G11,Acad-Yr-G12,Acad-Yr-G12-EC,Grade-Section-G12,Tig-Sem1-G12,Amh-Sem1-G12,Eng-Sem1-G12,Math-Sem1-G12,Bio-Sem1-G12,Chem-Sem1-G12,Phy-Sem1-G12,Civic-Sem1-G12,IT-Sem1-G12,Tech-Dr-Sem1-G12,Geo-Sem1-G12,His-Sem1-G12,Eco-Sem1-G12,Buss-Sem1-G12,Phy-Edu-Sem1-G12,Conduct-Sem1-G12,Tig-Sem2-G12,Amh-Sem2-G12,Eng-Sem2-G12,Math-Sem2-G12,Bio-Sem2-G12,Chem-Sem2-G12,Phy-Sem2-G12,Civic-Sem2-G12,IT-Sem2-G12,Tech-Dr-Sem2-G12,Geo-Sem2-G12,His-Sem2-G12,Eco-Sem2-G12,Buss-Sem2-G12,Phy-Edu-Sem2-G12,Conduct-Sem2-G12,Amharic-ESLCE,English-ESLCE,Maths-ESLCE,Aptitude-ESLCE,Physics-ESLCE,Chemistry-ESLCE,Bilology-ESLCE,Civics-ESLCE,Geography-ESLCE,History -ESLCE,Econ-ESLCE,Tigrigna -ESLCE,ESLCE-Cumm,ESLCE-CummOf7,Status-G12-ESLCE
113,Masho,12A37/2004,,2003,9/14/10 00:00,,11A,NATURAL SCIENCE,,87,87,89,88,88,76,92,73,89,,,,,95,A,,81,80,86,96,86,78,81,91,79,,,,,82,A,9/14/11 00:00,2004,12A,,81,76,78,93,76,88,83,96,84,,,,,95,A,,85,83,82,96,90,75,88,94,67,,,,,95,A,,,,,,,,,,,,,,,
204,Masho,12B36/2004,,2003,9/14/10 00:00,,11B,NATURAL SCIENCE,,35,48,58,51,61,50,75,41,67,,,,,71,A,,74,54,45,88,69,50,43,75,51,,,,,77,A,9/14/11 00:00,2004,12B,,61,68,44,74,53,43,65,4,65,,,,,81,A,,48,61,72,73,85,50,54,81,60,,,,,86,A,,,,,,,,,,,,,,,
167,Masho,12A15/2004,,2003,9/14/10 00:00,,11A,NATURAL SCIENCE,,71,77,75,82,76,62,74,75,76,,,,,85,A,,75,70,79,70,87,64,81,84,64,,,,,82,A,9/14/11 00:00,2004,12A,,74,80,71,73,65,77,59,92,70,,,,,97,A,,68,67,71,84,82,56,64,88,60,,,,,91,A,,,,,,,,,,,,,,,
126,Masho,12A24/2004,,2003,9/14/10 00:00,,11A,NATURAL SCIENCE,,56,67,39,75,55,52,70,53,64,,,,,85,A,,71,70,80,90,77,58,79,80,44,,,,,77,A,9/14/11 00:00,2004,12A,,57,62,59,80,69,65,66,80,59,,,,,83,A,,70,64,72,68,69,55,56,78,53,,,,,85,A,,,,,,,,,,,,,,,
127,Masho,12A36/2004,,2003,9/14/10 00:00,,11A,NATURAL SCIENCE,,73,81,66,81,81,56,87,78,88,,,,,89,A,,78,74,89,94,87,53,75,95,89,,,,,89,A,9/14/11 00:00,2004,12A,,79,75,79,85,91,75,82,94,66,,,,,93,A,,80,77,74,95,90,65,77,93,62,,,,,92,A,,,,,,,,,,,,,,,
128,Masho,12A2/2004,,2003,9/14/10 00:00,,11A,NATURAL SCIENCE,,88,70,89,76,83,64,83,67,71,,,,,86,A,,76,67,88,83,83,52,75,90,54,,,,,84,A,9/14/11 00:00,2004,12A,,81,72,77,93,73,81,82,67,68,,,,,91,A,,75,70,86,93,81,61,75,81,63,,,,,90,A,,,,,,,,,,,,,,,
130,Masho,12A39/2004,,2003,9/14/10 00:00,,11A,NATURAL SCIENCE,,59,61,67,76,63,74,73,60,51,,,,,81,A,,70,68,85,93,70,64,72,84,61,,,,,81,a,9/14/11 00:00,2004,12A,,53,67,60,78,72,67,61,67,52,,,,,94,A,,72,64,84,85,75,37,73,60,53,,,,,88,A,,,,,,,,,,,,,,,
125,Masho,12A9/2004,,2003,9/14/10 00:00,,11A,NATURAL SCIENCE,,60,69,56,80,61,58,68,52,63,,,,,82,A,,63,72,83,59,87,57,71,81,69,,,,,71,A,9/14/11 00:00,2004,12A,,65,56,54,76,69,90,83,69,56,,,,,87,A,,68,65,79,79,62,42,63,75,53,,,,,82,A,,,,,,,,,,,,,,,
124,Masho,12A33/2004,,2003,9/14/10 00:00,,11A,NATURAL SCIENCE,,71,69,81,81,76,70,79,75,77,,,,,85,A,,71,72,85,87,69,63,67,85,61,,,,,82,A,9/14/11 00:00,2004,12A,,64,74,51,71,67,78,65,62,63,,,,,82,A,,73,62,70,81,84,58,70,83,62,,,,,86,A,,,,,,,,,,,,,,,
129,Masho,12A57/2004,,2003,9/14/10 00:00,,11A,NATURAL SCIENCE,,72,81,70,76,63,65,83,56,76,,,,,84,A,,84,70,87,86,65,57,75,78,73,,,,,83,A,9/14/11 00:00,2004,12A,,71,68,54,64,82,86,59,87,76,,,,,94,A,,64,68,74,87,69,45,50,63,55,,,,,63,A,,,,,,,,,,,,,,,
358,Masho,11A55/2004,,2004,9/14/11 00:00,,11A,NATURAL SCIENCE,,85,58,44,70,71,64,73,64,70,,,,,75,A,,77,64,58,73,62,52,56,73,66,,,,,73,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Masho,12A14/2004,,2003,9/14/10 00:00,,11A,NATURAL SCIENCE,,59,57,67,63,71,50,75,57,50,,,,,91,A,,83,69,74,78,73,50,69,74,50,,,,,74,A,9/14/11 00:00,2004,12A,,57,72,40,75,63,55,58,69,54,,,,,76,A,,66,49,76,76,74,50,62,59,53,,,,,90,A,,,,,,,,,,,,,,,
157,Masho,12A28/2004,,2003,9/14/10 00:00,,11A,NATURAL SCIENCE,,81,73,42,59,58,45,84,75,89,,,,,77,A,,81,66,66,76,62,57,63,80,75,,,,,89,A,9/14/11 00:00,2004,12A,,72,71,68,73,50,75,56,84,67,,,,,90,A,,82,72,71,71,67,74,73,91,56,,,,,95,A,,,,,,,,,,,,,,,
158,Masho,12A31/2004,,2003,9/14/10 00:00,,11A,NATURAL SCIENCE,,81,76,78,85,91,95,73,85,75,,,,,86,A,,81,69,90,89,90,84,85,88,75,,,,,86,A,9/14/11 00:00,2004,12A,,87,64,88,93,86,92,90,85,88,,,,,92,A,,71,73,83,94,94,73,76,96,72,,,,,93,A,,,,,,,,,,,,,,,
