ID,Sch_Id,SCHOOL,Acad_yr,G1M6,G1F6,G1M7,G1F7,G2M7,G2F7,G3M7,G3F7,G4M7,G4F7,G5M7,G5F7,G6M7,G6F7,G7M7,G7F7,G8M7,G8F7,G1M8,G1F8,G2M8,G2F8,G3M8,G3F8,G4M8,G4F8,G5M8,G5F8,G6M8,G6F8,G7M8,G7F8,G8M8,G8F8,G1M9,G1F9,G2M9,G2F9,G3M9,G3F9,G4M9,G4F9,G5M9,G5F9,G6M9,G6F9,G7M9,G7F9,G8M9,G8F9,G1M10,G1F10,G2M10,G2F10,G3M10,G3F10,G4M10,G4F10,G5M10,G5F10,G6M10,G6F10,G7M10,G7F10,G8M10,G8F10,G1M11,G1F11,G2M11,G2F11,G3M11,G3F11,G4M11,G4F11,G5M11,G5F11,G6M11,G6F11,G7M11,G7F11,G8M11,G8F11,G1M12,G1F12,G2M12,G2F12,G3M12,G3F12,G4M12,G4F12,G5M12,G5F12,G6M12,G6F12,G7M12,G7F12,G8M12,G8F12,G1M13,G1F13,G2M13,G2F13,G3M13,G3F13,G4M13,G4F13,G5M13,G5F13,G6M13,G6F13,G7M13,G7F13,G8M13,G8F13,G1M14,G1F14,G2M14,G2F14,G3M14,G3F14,G4M14,G4F14,G5M14,G5F14,G6M14,G6F14,G7M14,G7F14,G8M14,G8F14,G1M15,G1F15,G2M15,G2F15,G3M15,G3F15,G4M15,G4F15,G5M15,G5F15,G6M15,G6F15,G7M15,G7F15,G8M15,G8F15,G1M16,G1F16,G2M16,G2F16,G3M16,G3F16,G4M16,G4F16,G5M16,G5F16,G6M16,G6F16,G7M16,G7F16,G8M16,G8F16,G1Mab16,G1Fab16,G2Mab16,G2Fab16,G3Mab16,G3Fab16,G4Mab16,G4Fab16,G5Mab16,G5Fab16,G6Mab16,G6Fab16,G7Mab16,G7Fab16,G8Mab16,G8Fab16,Tab_16
105,10405001,Addibre,10/01/2008 00:00:00,0,0,51,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,16,92,111,0,0,0,0,0,0,0,0,0,0,1,0,12,9,28,25,82,86,0,0,0,0,0,0,0,0,0,1,1,5,7,5,49,55,63,77,3,1,0,0,0,0,0,0,1,0,1,1,1,6,10,24,35,49,0,0,0,0,0,0,0,0,0,0,0,1,4,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1389
123,10405033,Maigundi,10/01/2008 00:00:00,0,0,47,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,42,43,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,44,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,453
125,10405015,Megab,10/01/2008 00:00:00,0,0,64,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,48,58,0,4,0,0,0,0,0,0,0,0,0,0,1,2,12,7,88,104,0,0,0,0,0,0,0,0,0,0,0,1,1,3,17,13,75,91,3,1,0,0,0,0,0,0,0,0,0,2,15,6,27,31,96,128,5,5,0,0,0,0,1,0,0,1,0,2,1,3,25,24,74,98,0,0,0,0,0,0,0,0,0,0,1,1,14,17,18,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1499
145,10405001,Addibre,10/01/2009 00:00:00,0,0,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,68,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,65,76,16,13,0,0,0,0,0,0,0,0,2,0,2,0,34,24,73,72,33,47,0,0,0,0,0,0,0,0,0,0,21,20,23,14,124,146,1,0,0,0,0,0,0,0,0,0,10,11,8,4,14,7,59,78,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6,9,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1466
155,10405033,Maigundi,10/01/2009 00:00:00,0,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,37,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,32,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295
159,10405015,Megab,10/01/2009 00:00:00,0,0,67,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,43,38,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,2,17,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,36,58,77,2,1,0,0,0,0,0,0,0,0,1,2,13,11,34,49,106,133,0,2,0,0,0,0,0,0,7,0,4,8,8,5,28,28,73,87,0,0,0,0,0,0,2,0,0,0,0,2,2,9,40,60,0,0,0,0,0,0,3,3,0,0,0,1,0,1,14,16,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,1469
1,10405001,Addibre,10/01/2006 00:00:00,2,0,36,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,16,47,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,33,75,76,0,0,0,0,0,0,0,0,0,0,0,0,19,10,36,27,139,143,1,1,0,0,0,0,0,0,0,0,11,1,1,0,1,2,59,68,1,0,0,0,0,0,0,0,0,2,3,0,2,3,5,2,12,20,1,3,1,0,0,0,2,0,2,1,7,2,0,0,9,16,10,24,1,1,0,0,0,0,0,1,4,10,0,0,2,5,19,27,2,4,0,0,0,0,0,0,1,5,0,1,3,1,24,19,7,6,0,0,0,0,0,0,3,1,0,1,1,1,4,15,13,15,0,0,0,0,0,0,4,0,0,1,4,5,10,5,38,34,1363
15,10405015,Megab,10/01/2006 00:00:00,0,0,43,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,53,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,98,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,18,90,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,108,107,4,2,0,0,0,0,0,0,0,2,0,0,0,2,7,11,52,65,8,12,0,0,0,0,0,0,0,2,0,1,0,1,18,16,55,37,9,5,0,0,0,0,1,0,1,0,1,2,3,3,31,34,40,35,0,0,0,0,0,0,0,0,0,0,2,2,11,11,31,33,0,0,0,0,0,0,0,0,0,0,0,1,10,8,25,67,0,0,0,0,0,0,0,0,1,0,0,0,3,3,12,10,1576
32,10405033,Maigundi,10/01/2006 00:00:00,0,0,49,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,54,29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,15,70,80,0,0,0,0,0,0,0,0,0,0,1,0,16,22,28,24,0,0,0,0,0,0,0,0,0,0,0,0,11,10,8,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538
50,10405001,Addibre,10/01/2007 00:00:00,0,0,42,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,38,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,45,53,18,21,0,0,0,0,0,0,0,0,0,0,2,0,18,37,59,53,0,0,0,0,0,0,0,0,0,0,0,0,24,10,30,21,125,127,0,0,0,0,0,0,0,0,0,0,8,3,2,0,14,9,56,67,1,0,1,1,0,0,0,0,3,1,1,0,9,8,2,1,11,11,3,9,0,0,0,0,4,1,1,2,7,8,1,0,37,43,13,26,0,0,0,0,0,0,1,0,1,4,0,1,1,5,25,28,0,0,0,0,0,0,0,0,0,1,0,0,2,2,14,18,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,15,1318
