ID,Sch_Id,School,Acad-yr,TTI_M,TTI_F,TTC_M,TTC_F,Oth_M,Oth_F,NR_M,NR_F,T_Male,T_Fem,Total
1,10405001,Addibre        ,10/01/2006 00:00:00,12,7,,2,,,4,5,16,14,30
2,10405002,Adi-Beles      ,10/01/2006 00:00:00,21,4,5,3,2,2,5,,33,9,42
3,10405003,Adi-Elo        ,10/01/2006 00:00:00,7,2,3,,,,6,6,16,8,24
4,10405004,Amina-Hagos    ,10/01/2006 00:00:00,4,9,,,,,6,1,10,10,20
5,10405005,Arena          ,10/01/2006 00:00:00,15,3,,,,,,,15,3,18
6,10405006,Endatsebela    ,10/01/2006 00:00:00,6,6,,,2,1,3,1,11,8,19
7,10405007,Degamba        ,10/01/2006 00:00:00,13,5,2,,1,,6,,22,5,27
8,10405008,Dgum           ,10/01/2006 00:00:00,15,12,2,,1,1,1,,19,13,32
9,10405009,Gule           ,10/01/2006 00:00:00,4,6,,,,,3,2,7,8,15
10,10405010,Hadush-Addi    ,10/01/2006 00:00:00,6,4,,,3,3,4,2,13,9,22
11,10405011,Hawzen Pri./Jr.,10/01/2006 00:00:00,1,,5,1,,,10,13,16,14,30
12,10405012,Kokhi-Azan     ,10/01/2006 00:00:00,6,8,3,1,,1,7,1,16,11,27
13,10405013,Koraro,10/01/2006 00:00:00,10,3,,2,1,,2,2,13,7,20
14,10405014,Mai-kado       ,10/01/2006 00:00:00,9,4,1,,1,,1,3,12,7,19
15,10405015,Megab          ,10/01/2006 00:00:00,11,8,4,4,,,4,1,19,13,32
16,10405016,Mezutey        ,10/01/2006 00:00:00,13,4,3,1,,3,3,1,19,9,28
17,10405017,Tsehaf-werdi   ,10/01/2006 00:00:00,12,6,,,6,2,,,18,8,26
18,10405018,Una-dergem     ,10/01/2006 00:00:00,4,5,,,,,,1,4,6,10
19,10405019,Welel          ,10/01/2006 00:00:00,12,4,,,,,8,2,20,6,26
20,10405020,Debre Abay     ,10/01/2006 00:00:00,8,10,,,,,6,,14,10,24
21,10405021,Debre Hiwet    ,10/01/2006 00:00:00,6,8,,,,,5,1,11,9,20
22,10405022,Hatset         ,10/01/2006 00:00:00,5,4,,3,,,4,1,9,8,17
23,10405023,Selae          ,10/01/2006 00:00:00,8,3,,,,,,,8,3,11
24,10405024,Mai Gobo       ,10/01/2006 00:00:00,4,1,,,,,2,4,6,5,11
25,10405025,Tsefah         ,10/01/2006 00:00:00,7,4,,,,,,1,7,5,12
26,10405027,Teko           ,10/01/2006 00:00:00,7,3,,,,,,1,7,4,11
27,10405028,Meshel,10/01/2006 00:00:00,12,2,,,,,,2,12,4,16
28,10405029,Alal           ,10/01/2006 00:00:00,3,4,,,,,1,1,4,5,9
29,10405030,Deniwal        ,10/01/2006 00:00:00,5,3,,,,,1,1,6,4,10
30,10405031,Midimar        ,10/01/2006 00:00:00,1,5,,,,,1,,2,5,7
31,10405032,Hadinet        ,10/01/2006 00:00:00,6,1,,,,,1,,7,1,8
32,10405033,Mai-Gundi      ,10/01/2006 00:00:00,5,3,,,,,1,1,6,4,10
33,10405034,Mariyam-Zala   ,10/01/2006 00:00:00,4,1,,,,,2,,6,1,7
34,10405035,Lelema         ,10/01/2006 00:00:00,3,3,,,,,,,3,3,6
35,10405036,Tala           ,10/01/2006 00:00:00,5,2,,,,,,2,5,4,9
36,10405037,Mai-Tekeli     ,10/01/2006 00:00:00,2,2,,,,,,1,2,3,5
37,10405038,Suta           ,10/01/2006 00:00:00,5,2,,,,,1,2,6,4,10
38,10405039,Aerug          ,10/01/2006 00:00:00,3,2,,,,,2,2,5,4,9
39,10405040,Mietera        ,10/01/2006 00:00:00,2,,,,,,1,1,3,1,4
40,10405041,Mai-Tseba      ,10/01/2006 00:00:00,6,2,,,,,,1,6,3,9
41,10405042,Debre-Tsehay   ,10/01/2006 00:00:00,2,1,,,,,1,1,3,2,5
42,10405043,Engfa          ,10/01/2006 00:00:00,4,2,,,,,1,,5,2,7
43,10405044,Selam          ,10/01/2006 00:00:00,,,,,,,3,2,3,2,5
44,10405045,Mongoleats     ,10/01/2006 00:00:00,1,1,,,,,2,1,3,2,5
45,10405046,Sluh           ,10/01/2006 00:00:00,2,3,,,,,,,2,3,5
46,10405047,Setet          ,10/01/2006 00:00:00,,,,,,,2,,2,0,2
47,10405048,Mai-Welel      ,10/01/2006 00:00:00,,,,,,,1,1,1,1,2
48,10405049,Ketema         ,10/01/2006 00:00:00,,,,,,,1,1,1,1,2
